gene,GABAergic.LGN_Inh_CTXN3,GABAergic.LGN_Inh_LAMP5,GABAergic.LGN_Inh_NTRK1,GABAergic.LGN_Inh_TRPC4,Glutamatergic.LGN_Exc_BTNL9,Glutamatergic.LGN_Exc_PRKCG_BCHE,Glutamatergic.LGN_Exc_PRKCG_GRB14,Non-Neuronal.Astro_CPAMD8,Non-Neuronal.Astro_LGR6,Non-Neuronal.Micro_C1QB,Non-Neuronal.OPC_PDGFRA,Non-Neuronal.Oligo_MAG
ENSG00000073734,0.0,0.0,0.09116222760290556,0.0,0.0,0.0,0.0,0.4914286023774099,0.0,0.4946132799091614,0.0,0.0
ENSG00000005471,0.0,0.0,0.0,0.0,0.20748813120414328,0.0,0.0,0.0,0.0,0.02049808429118774,0.0,0.0
ENSG00000004846,0.0,0.23942021281690276,0.0,0.6167302334549822,0.0,0.0,0.0,0.0,0.0,0.19954954757185994,0.0,0.0
ENSG00000115657,0.0,0.0,0.0,0.0,0.0,0.0,0.27929242451068204,0.0,0.0,0.0,0.0,0.0
ENSG00000150967,0.0,0.0,0.0,0.0,0.0,0.06638171667829727,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103222,0.0,0.044238683127572016,0.0,0.0,0.0,0.0,0.0,0.15801824785992186,0.0,0.0,0.0,0.0
ENSG00000124574,0.0,0.0,0.0,0.0,0.015753129046180404,0.0,0.03261128835827725,0.0,0.0,0.0,0.0,0.0
ENSG00000140798,0.0517631103074141,0.0,0.0,0.7392784854494233,0.0,0.0,0.0,0.0,0.025670945157526253,0.0,0.0,0.0
ENSG00000108846,0.0,0.0,0.11106027888933714,0.0,0.0,0.6736658857013714,0.4176099655815647,0.0,0.0,0.0,0.0,0.0
ENSG00000125257,0.0,0.0,0.0,0.0,0.0,0.0,0.5172672713460412,0.1118287373004354,0.0,0.439992499809944,0.0,0.0
ENSG00000114770,0.0,0.0,0.0,0.0,0.18040089086859687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091262,0.13770179235330762,0.0,0.0,0.0,0.0,0.0,0.0,0.22273696252064995,0.3313636595150164,0.0,0.0,0.0
ENSG00000256340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5287022182029634,0.0,0.0,0.0,0.02042711234911792
ENSG00000006071,0.0,0.0,0.0,0.0,0.2507491351326931,0.0,0.0637278978388998,0.0,0.0,0.0,0.0432347670250896,0.0
ENSG00000069431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5567593297865071,0.2384409525118981,0.0,0.06705147430833436,0.0
ENSG00000101986,0.0,0.0,0.4072383698634182,0.0,0.0,0.0,0.14078299196266528,0.0,0.3514379634686092,0.003685503685503685,0.0,0.0
ENSG00000261233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6011382755774871,0.0,0.0,0.0,0.0
ENSG00000173208,0.0,0.0,0.0,0.0,0.19594884522551914,0.0,0.0,0.0,0.1656682980795381,0.0,0.0,0.0
ENSG00000117528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000119688,0.2305059273813611,0.0,0.056535101908767385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204574,0.06001154068090017,0.0,0.12835651892591393,0.0,0.0,0.0,0.055701577031945004,0.0,0.0,0.0,0.0,0.0
