gene,Astro,Endo,Ex1,Ex2,Ex3e,Ex4,Ex5b,Ex6a,Ex6b,Ex8,Ex9,In1a,In1b,In1c,In3,In4a,In4b,In6a,In6b,In7,In8,Microglia,OPC,Oligo,Per
ENSG00000159433,0.0,0.0,0.0,0.304430681067721,0.0,0.0,0.06404385234526783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48996813232815795,0.0,0.4055604672559163,0.0,0.0,0.5347572278903737,0.0
ENSG00000115415,0.0,0.5047704982628229,0.02926054303870595,0.0,0.16734193238633843,0.0,0.0,0.0,0.0,0.0,0.3991443816194551,0.06835007932310946,0.20309896853375115,0.31034980061829054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21979166666666666
ENSG00000170581,0.002058432934926959,0.0,0.021634893125361064,0.09285347188422786,0.0,0.05740845869997162,0.010616153205661949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128440366972477,0.0,0.0,0.0,0.0,0.0,0.0,0.29958209009050685,0.0
ENSG00000168610,0.16021194242710618,0.40638929467270896,0.0,0.13100360365121372,0.0,0.0,0.0,0.0,0.0,0.06465770829290506,0.0,0.0,0.00012512512512512512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247282608695652
ENSG00000138378,0.0,0.0,0.7010411618267539,0.6637324920131613,0.0,0.0,0.18176432945375492,0.7638017562044842,0.0,0.0,0.0,0.0,0.0,0.0,0.10003753753753754,0.3258723066995848,0.0,0.0,0.10479208361129642,0.23758688146912832,0.0,0.0,0.0,0.0,0.0
ENSG00000126561,0.15390365620849933,0.5107819986701319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241229473285694,0.0,0.44769468477880564,0.0,0.0,0.08333333333333333,0.0,0.08428899082568807,0.0,0.44766147197110706,0.02932649420160571,0.2625742370680869,0.22901684432354438,0.0
ENSG00000173757,0.0,0.023759415152857778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16374861314171357,0.07895395395395395,0.0,0.1980506111838711,0.0,0.4618074190979169,0.08159553831231814,0.3496970438278636,0.0,0.6886852525447653,0.0,0.1396791106841755,0.020308386611508085,0.0
ENSG00000166888,0.0,0.43240706823472524,0.23109946866335107,0.37558391225984,0.517002273315356,0.813414580122857,0.5647282099836468,0.0,0.09222007479378465,0.3599853165282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27211278672941663,0.0,0.0,0.07839673913043478
ENSG00000124214,0.0,0.004929109437306158,0.14488158344026641,0.180843474396011,0.02360188261351052,0.0,0.25729299836294006,0.0,0.0,0.04013431403901503,0.020772691188145013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008783633533466756,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000040341,0.0,0.0,0.15789690319339914,0.3570159745219697,0.13863510520487266,0.16534203803576497,0.384767957561463,0.1804438726278546,0.20853648138175687,0.11888391429485129,0.011577136808679545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27185833815306026,0.004432289701999246,0.0,0.0,0.0,0.0,0.0
ENSG00000164647,0.0,0.0,0.8250954926394437,0.6978214392493516,0.0,0.0,0.7680095113151606,0.0,0.0,0.0,0.0,0.0,0.15611814345991562,0.0,0.0,0.0,0.0,0.0,0.10839384878257155,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105889,0.0,0.5487865966867147,0.016146735990756788,0.18201214186610334,0.0,0.0,0.045517624202053845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37435861953423044,0.0
ENSG00000157214,0.0,0.0,0.7117399102190475,0.6736171219014165,0.2013870246232945,0.0,0.4406630346055119,0.0,0.0,0.0,0.11129632778644497,0.0,0.0,0.0,0.0,0.0,0.0,0.22032437823691964,0.2730130105865089,0.11052433044134288,0.0,0.0,0.0,0.0,0.0
ENSG00000227646,0.05411686586985392,0.0,0.5278000063245946,0.5277014759943306,0.0,0.0,0.19773286898436843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18425852706704388,0.0,0.0,0.5228323224624328,0.7008646261542384,0.1853370760515543,0.0,0.0,0.0,0.0,0.0
ENSG00000115107,0.0,0.35841215923857184,0.15459272097053725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32882099093179423,0.7109405735214507,0.0,0.6641955028146697,0.0,0.0,0.0,0.0,0.7474164381077939,0.0,0.0,0.0
ENSG00000127954,0.12525599227903747,0.050127804600965636,0.21139679132133668,0.28301568897526636,0.0,0.0,0.02412341567212508,0.0,0.0,0.46554138163492703,0.0,0.0,0.0,0.0,0.11587485515643106,0.42519538774622506,0.7690938367036901,0.0,0.6570621459689221,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167323,0.0,0.0,0.22480416428309674,0.09421913848178662,0.0,0.0,0.3852419923194278,0.0,0.5534169677758182,0.3060501700977276,0.0,0.1766530327634861,0.0,0.2166056213051606,0.15127627627627627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
