gene,Cerebellum-Astrocytes,Cerebellum-Granule_neurons,Cerebellum-Inhibitory_interneurons,Cerebellum-Microglia,Cerebellum-Oligodendrocytes,Cerebellum-Purkinje_neurons,Cerebellum-SLC24A4_PEX5L_positive_cells,Cerebellum-Unipolar_brush_cells,Cerebellum-Vascular_endothelial_cells
ENSG00000007062,0.3696951479399816,0.0,0.0,0.0,0.7480687396948611,0.0,0.0,0.0,0.24925757229238965
ENSG00000007168,0.0,0.0,0.0,0.0,0.0,0.34099698258237193,0.19158169875744352,0.0,0.0
ENSG00000007174,0.3827682643011908,0.0,0.0,0.0,0.0,0.1012294440443573,0.0,0.0,0.0022947475777664456
ENSG00000007237,0.632646124702642,0.0,0.0,0.2730822839189689,0.0,0.0,0.0,0.0,0.0
ENSG00000007372,0.0,0.8121509567092708,0.0,0.0,0.0,0.0,0.0,0.07580036382781968,0.0
ENSG00000007402,0.0,0.0,0.0032599118942731277,0.0,0.0,0.18065289273147386,0.43360693012631923,0.0,0.0
ENSG00000007944,0.0,0.0,0.0,0.2372140191449745,0.0009011090573012941,0.2007261563603529,0.0,0.0,0.05162267689041731
ENSG00000008056,0.0,0.006224798387096774,0.04425716158483953,0.0,0.0,0.02811947118496404,0.2617541132760358,0.0034804753820033966,0.0
ENSG00000008083,0.0,0.0,0.19387915739623499,0.005069999753449649,0.0,0.19092844626277145,0.0028424572702501856,0.0,0.0
ENSG00000008086,0.0,0.0,0.1407624480633655,0.0,0.0,0.1758149491801442,0.37353141740519197,0.0003027681660899654,0.0
ENSG00000008196,0.0,0.0,0.9528003769383327,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008256,0.0,0.0,0.0,0.04118273182351142,0.0,0.138196519317189,0.13855071459115978,0.0,0.41621446100059845
ENSG00000008277,0.0,0.5667970763377428,0.11383251403102462,0.0,0.0,0.0,0.0,0.003609874470880164,0.0
ENSG00000008282,0.10353487144346922,0.0,0.0,0.02562956850859818,0.0,0.0,0.0,0.0,0.40284731865365336
ENSG00000008283,0.0,0.0,0.0,0.0,0.0,0.2381102016796895,0.022583931018434138,0.0,0.23637482991949768
